rank,ein,name,city,state,ntee_code,latest_revenue,latest_expenses,latest_tax_year,score,revenue_fit,recency,financial_health,profile_url,pdf_url
1,581514800,Manna Food Bank,Mills River,NC,K31Z,37885817,36358884,2023,100.0,1.0,1.0,1.0,https://projects.propublica.org/nonprofits/organizations/581514800,https://projects.propublica.org/nonprofits/download-filing?path=IRS%2F581514800_202306_990_2024061122523245.pdf
2,860505273,United Food Bank,Mesa,AZ,K31Z,45985490,43611598,2023,100.0,1.0,1.0,1.0,https://projects.propublica.org/nonprofits/organizations/860505273,https://projects.propublica.org/nonprofits/download-filing?path=download990pdf_03_2024_prefixes_74-86%2F860505273_202306_990_2024031222315171.pdf
3,742244826,Weld Food Bank,Greeley,CO,K31Z,25594470,25854904,2024,100.0,1.0,1.0,1.0,https://projects.propublica.org/nonprofits/organizations/742244826,https://projects.propublica.org/nonprofits/download-filing?path=IRS%2F742244826_202406_990_2025041023345891.pdf
4,751813170,Community Food Bank,Fort Worth,TX,K31,22327930,22523412,2023,100.0,1.0,1.0,1.0,https://projects.propublica.org/nonprofits/organizations/751813170,https://projects.propublica.org/nonprofits/download-filing?path=IRS%2F751813170_202312_990_2024061022503807.pdf
5,237111782,Yolo Food Bank,Woodland,CA,K31Z,23338085,23350748,2023,100.0,1.0,1.0,1.0,https://projects.propublica.org/nonprofits/organizations/237111782,https://projects.propublica.org/nonprofits/download-filing?path=IRS%2F237111782_202306_990_2024040522345095.pdf
6,311020198,Food Finders Food Bank Inc,Lafayette,IN,K31Z,18884218,18248260,2023,100.0,1.0,1.0,1.0,https://projects.propublica.org/nonprofits/organizations/311020198,https://projects.propublica.org/nonprofits/download-filing?path=IRS%2F311020198_202309_990_2024120622938474.pdf
7,721328890,Northwest Louisiana Food Bank,Shreveport,LA,K31,19949801,18728251,2023,100.0,1.0,1.0,1.0,https://projects.propublica.org/nonprofits/organizations/721328890,https://projects.propublica.org/nonprofits/download-filing?path=download990pdf_02_2024_prefixes_65-81%2F721328890_202306_990_2024022022293821.pdf
8,770320851,Central California Food Bank,Fresno,CA,K310,96876716,94717494,2023,100.0,1.0,1.0,1.0,https://projects.propublica.org/nonprofits/organizations/770320851,https://projects.propublica.org/nonprofits/download-filing?path=IRS%2F770320851_202306_990_2024040522346850.pdf
9,510192519,Community Food Bank Inc,Tucson,AZ,K31Z,80291900,80705629,2023,100.0,1.0,1.0,1.0,https://projects.propublica.org/nonprofits/organizations/510192519,
10,860507679,Arizona Food Bank Network,Phoenix,AZ,K31C,78092603,78717852,2024,100.0,1.0,1.0,1.0,https://projects.propublica.org/nonprofits/organizations/860507679,https://projects.propublica.org/nonprofits/download-filing?path=IRS%2F860507679_202406_990_2025041023348970.pdf
11,621340755,Mid South Food Bank,Memphis,TN,K31Z,71842542,72981698,2023,100.0,1.0,1.0,1.0,https://projects.propublica.org/nonprofits/organizations/621340755,
12,680121855,Redwood Empire Food Bank,Santa Rosa,CA,K31Z,57800802,56443914,2023,100.0,1.0,1.0,1.0,https://projects.propublica.org/nonprofits/organizations/680121855,https://projects.propublica.org/nonprofits/download-filing?path=download990pdf_03_2024_prefixes_54-74%2F680121855_202306_990_2024031222313257.pdf
13,421177880,Food Bank Of Iowa,Des Moines,IA,K31Z,47199579,40416626,2023,100.0,1.0,1.0,1.0,https://projects.propublica.org/nonprofits/organizations/421177880,
14,550611100,Mountaineer Food Bank Inc,Gassaway,WV,K31Z,44545236,42846654,2023,100.0,1.0,1.0,1.0,https://projects.propublica.org/nonprofits/organizations/550611100,
15,472229589,Great Plains Food Bank,Fargo,ND,K31,29520140,27329151,2023,100.0,1.0,1.0,1.0,https://projects.propublica.org/nonprofits/organizations/472229589,https://projects.propublica.org/nonprofits/download-filing?path=download990pdf_05_2024_prefixes_46-47%2F472229589_202306_990_2024050722384810.pdf
